原始欄位代碼,欄位中文名稱,欄位英文名稱,三表來源,數值
ifrs-full:CurrentFinancialAssetsAtFairValueThroughProfitOrLoss,流動透過損益按公允價值衡量之金融資產,Current Financial Assets at FVTPL,資產負債表,2161417
ifrs-full:CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,流動透過損益按公允價值衡量之金融負債,Current Financial Liabilities at FVTPL,資產負債表,1156
ifrs-full:CurrentPrepayments,流動預付款項,Current Prepayments,資產負債表,7283195
ifrs-full:CurrentTaxLiabilities,本期所得稅負債,Current Tax Liabilities,資產負債表,3360585
ifrs-full:DeferredTaxAssets,遞延所得稅資產,Deferred Tax Assets,資產負債表,3977536
ifrs-full:DeferredTaxLiabilities,遞延所得稅負債,Deferred Tax Liabilities,資產負債表,28078418
ifrs-full:EquityAttributableToOwnersOfParent,歸屬於母公司業主之權益,Equity Attributable to Owners of Parent,資產負債表,237429168
ifrs-full:HedgingInstrumentLiabilities,避險工具負債,Hedging Instrument Liabilities,資產負債表,3900
ifrs-full:IntangibleAssetsAndGoodwill,無形資產及商譽,Intangible Assets and Goodwill,資產負債表,63480697
ifrs-full:Inventories,存貨,Inventories,資產負債表,21684626
ifrs-full:InvestmentProperty,投資性不動產,Investment Property,資產負債表,21912349
ifrs-full:InvestmentAccountedForUsingEquityMethod,採用權益法之投資,Investments Accounted for Using Equity Method,資產負債表,20907197
ifrs-full:NoncontrollingInterests,非控制權益,Noncontrolling Interests,資產負債表,61892898
ifrs-full:NoncurrentAssets,非流動資產總額,Total Noncurrent Assets,資產負債表,400694063
ifrs-full:NoncurrentFinancialAssetsAtAmortisedCost,非流動按攤銷後成本衡量之金融資產,Noncurrent Financial Assets at Amortised Cost,資產負債表,25677414
ifrs-full:NoncurrentFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,非流動透過其他綜合損益按公允價值衡量之金融資產,Noncurrent Financial Assets at FVTOCI,資產負債表,15047839
ifrs-full:NoncurrentFinancialAssetsAtFairValueThroughProfitOrLoss,非流動透過損益按公允價值衡量之金融資產,Noncurrent Financial Assets at FVTPL,資產負債表,0
ifrs-full:NoncurrentFinanceLeaseReceivables,非流動融資租賃應收款,Noncurrent Finance Lease Receivables,資產負債表,5493308
ifrs-full:NoncurrentLiabilities,非流動負債總額,Total Noncurrent Liabilities,資產負債表,187971533
ifrs-full:NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,非流動確定福利負債,Noncurrent Defined Benefit Liabilities,資產負債表,1601040
ifrs-full:NoncurrentPortionOfNoncurrentBondsIssued,應付公司債（非流動）,Noncurrent Portion of Bonds Issued,資產負債表,93376835
ifrs-full:OtherCurrentAssets,其他流動資產,Other Current Assets,資產負債表,1570697
ifrs-full:OtherCurrentLiabilities,其他流動負債,Other Current Liabilities,資產負債表,53420042
ifrs-full:OtherCurrentPayables,其他應付款（流動）,Other Current Payables,資產負債表,21515574
ifrs-full:OtherCurrentReceivables,其他應收款（流動）,Other Current Receivables,資產負債表,3461051
ifrs-full:OtherEquityInterest,其他權益,Other Equity Interest,資產負債表,29325114
ifrs-full:OtherNoncurrentAssets,其他非流動資產,Other Noncurrent Assets,資產負債表,11818284
ifrs-full:OtherNoncurrentLiabilities,其他非流動負債,Other Noncurrent Liabilities,資產負債表,4216615
ifrs-full:TradeAndOtherCurrentPayablesToRelatedParties,應付關係人款項（業務）,Trade Payables to Related Parties,資產負債表,722531
ifrs-full:TradeAndOtherCurrentPayablesToTradeSuppliers,應付供應商款項（業務）,Trade Payables to Trade Suppliers,資產負債表,14732697
tifrs-bsci-ci:AccountsReceivableDuefromRelatedPartiesNet,應收關係人款項淨額,"Accounts Receivable Due from Related Parties, Net",資產負債表,330793
tifrs-bsci-ci:AccountsReceivableNet,應收帳款淨額,"Accounts Receivable, Net",資產負債表,26410938
ifrs-full:CurrentCommercialPapersIssuedAndCurrentPortionOfNoncurrentCommercialPapersIssued,應付商業本票（流動）,Current Commercial Papers Issued,資產負債表,879213
ifrs-full:CurrentLeaseLiabilities,流動租賃負債,Current Lease Liabilities,資產負債表,934102
ifrs-full:HedgingInstrumentAssets,避險工具資產,Hedging Instrument Assets,資產負債表,17756
tifrs-bsci-ci:LongtermLiabilitiesCurrentPortion,一年內到期長期負債,Current Portion of Long-term Liabilities,資產負債表,51824503
